Error (Error Message),Work Sheet (Portlet),Classification,Category,Validation Resolution (Simplified Message)
business is an invalid picklist value in import file or database for Phone Type.,Phone Information,Data Error,Picklist,"Field is case sensitive. Ensure value mataches with the picklist value for ""phone-type"""
fax is an invalid picklist value in import file or database for Phone Type.,Phone Information,Data Error,Picklist,"Field is case sensitive. Ensure value mataches with the picklist value for ""phone-type"""
home is an invalid picklist value in import file or database for Phone Type.,Phone Information,Data Error,Picklist,"Field is case sensitive. Ensure value mataches with the picklist value for ""phone-type"""
other is an invalid picklist value in import file or database for Phone Type.,Biographical Information,Conversion,Date,"Please use format ""MM/DD/YYYY"" when importing data in Language Locale en_US"
Date Of Birth contains an invalid date format.,Biographical Information,Conversion,Date,"Please use format ""MM/DD/YYYY"" when importing data in Language Locale en_US"
You entered an invalid country/region (United Kingdom) in the following field: Country Of Birth.,Biographical Information,Conversion,Picklist,"Please use three letter country code. i.e. USA, MEX, CAN, GER FRA"
You entered an invalid country/region (France) in the following field: Country Of Birth.,Employment Info,Conversion,Date,"Please use three letter country code. i.e. USA, MEX, CAN, GER FRA"
First Date Worked contains an invalid date format,Personal Information,Conversion,Picklist,"Please use the description of the picklist ID ""native-preferred-lang"" found on the Picklist Center"
ENG is an invalid picklist value in import file or database for Preferred Language,Personal Information,Conversion,Picklist,"Please use the description of the picklist ID ""native-preferred-lang"" found on the Picklist Center"
FRA is an invalid picklist value in import file or database for Preferred Language,Personal Information,Conversion,Picklist,"Please use three letter country code. i.e. USA, MEX, CAN, GER FRA"
benefits-rate is a required field and cannot be blank,Compenssation Information,Data Error,Required field,The required field can not be blank
does not have valid Job Information data on,Job Information ,Conversion Error,,Missing or incorrect previous job data
start-date contains an invalid date format,Job Information ,Data Error,Required field,The required field can not be blank
start-date is a required field and cannot be blank.,Job Information ,Data Error,Required field,The required field can not be blank
RBP access denied on user  ,job Information,Configuration Error,,Please check RBP import configuration
Compensation Information record matching the values start-date,Compensation Information,Conversion Error,,Verify that a Compensation Information record with the start-date
custom-string22 is a required field and cannot be blank,Job Information,Data Error,Required field,Required field can not be blank
Manager is invalid.,Job Information,Data Error,,Please check the manager in Job Relationship portal in employee record
"70051901 is an invalid external code for Job Key,80067576 is an invalid external code for Position",Job Information,Data Error,,Please check Position ID organization Information portal in employee record
"Invalid first record for user 00116501, First record should be hire record ",Job Information,Conversion Error,,Please add a hire record for this employee in the Job Info data load file
000063 is an invalid picklist value in import file or database for Clock Number,Job Information,Configuration Error,Picklist,Please check the picklist value matches with the value in the mapping And check if there are any spaces in the picklist value
Failed to perform country specific validation. Please ensure this record is associated with a valid Company record for given dates.,Job Information,Data Error,,Please check the Job Info portlet in the employee record
80067205 is an invalid external code for Position,Job Information,Data Error,,Please check Position ID organization Information portal in employee record
Third Country National is an invalid picklist value in import file or database for employment-type.,Job Information,Configuration Error,Picklist,Please check the picklist value matches with the value in the mapping And check if there are any spaces in the picklist value
No termination record is found for user 00309752,Termination/Separation,Conversion Error,,Missing termination record in the Job Info data load file
You already imported a record with the event reason for adding a global assignment for this user,Global Assignment,Conversion Error,,Employee Host record already exist. Please confirm and check employee Job Information
Please enter a start date that is after 01/02/2013 (hire date of employee),Job Information,Data Error,,Employee transaction date should be greater than the hire date. Please check the date 
You cannot import a termination record for this user because this user is associated with global assignment,Job Information,Data Error,,The employee has active global assignment record. Please end the global assignment before terminate this employee
